,Dados,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Receita líquida,16519584,16896264,17312432,16126232,15331852,17148949,18524601,22968885,25436417,26793735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lucro Líquido,3667234,-480574,533994,-112267,1615951,-853058,111229,5200583,2244511,1529728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EBIT,5756922,641697,3119754,2818013,5177625,1935915,2983965,6946560,3541917,3766291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EBITDA,6705173,1872348,4275347,4099498,6354465,3258412,4437300,8219581,5061248,5596799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dívida Bruta,27888588,30151759,27746430,29883379,34282515,30441018,29510844,28827074,27967036,36158153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dívida Líquida,12471195,15706884,17750758,21197358,26421463,25569856,26099272,26579070,26878081,30433725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patrimônio Líquido,8417170,9007513,8069059,5734975,8735663,7384521,8288229,10013440,11361932,6342851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P/L,0,-36.03,39.73,-81,3.85,-16.8,101.88,2.34,9.08,23.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LPA,2.52,-0.33,0.37,-0.08,1.16,-0.61,0.08,3.75,1.62,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EBTIDA/AÇÃO,,1.28,2.93,2.95,4.58,2.35,3.2,5.92,3.65,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dívida Líquida/EBTIDA,1.86,8.39,4.15,5.17,4.16,7.85,5.88,3.23,5.31,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dividend Yield(%),,11.88,6.35,7.62,0,0,0,0,6.46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PAYOUT(%),83.35423398,,254.6834813,,0,,0,0,58.72205703,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ROIC(%),20.95,1.97,9.18,7.95,11.19,4.46,6.59,14.43,7.04,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ROE(%),43.57,-5.34,6.62,-1.96,18.5,-11.55,1.34,51.94,19.75,24.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VPA,5.77,6.18,5.53,4.13,6.3,5.32,5.97,7.22,8.19,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Margem Líquida,22.2,-2.84,3.08,-0.7,10.54,-4.97,0.6,22.64,8.82,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Margem EBTIDA,40.59,11.08,24.7,25.42,41.45,19,23.95,35.79,19.9,20.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liquidez Corrente,3.38,3.3,2.95,2.5,3.09,2.26,1.11,1.05,1.1,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liquidez Seca,2.8,2.74,2.38,1.86,2.16,1.54,0.7,0.61,0.64,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preço Justo,0,-0.866733151,12.71573631,7.711019351,22.55703675,5.573255249,14.96334898,50.99163104,22.24028663,32.07918732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
